player_name,team,conference,GamesPlayed,Min_per,Ortg,usage_rate,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Position
Kobe Dickson,Cornell,Ivy,22,34.9,98.6,15.8,56.9,54.92,8.6,13.8,6.4,20.8,7,19,0.368,35,61,0.574,4,11,0.364,4.1,1.4,26.4,Jr,,,,,,,,,,
AJ Edu,Toledo,MAC,2,3.9,66.9,9,14.3,14.29,9.5,22.2,3.1,13.5,0,0,0,1,7,0.143,0,0,0,9.1,0,0,Jr,-5.8078,1.38203,2,5,7,0.5,0,2,1,C
Jaylan Gainey,Brown,Ivy,24,46.1,123,12.5,68.2,69.19,8.9,19.7,3.7,19.1,22,31,0.71,58,85,0.682,0,0,0,12.2,1.2,36.5,Jr,,,,,,,,,,
David Mitchell,Brown,Ivy,26,50.7,114.8,9.4,53.4,57.78,9.5,19,6.9,20.9,20,27,0.741,21,40,0.525,7,19,0.368,2.3,2,45.8,Jr,,,,,,,,,,
Cameron Ba,UC Davis,BW,13,48.5,102.6,10.7,47.8,49.2,2.1,12.8,2.3,7.9,8,13,0.615,8,15,0.533,16,52,0.308,1,0.8,19.4,Jr,-1.42598,-0.894432,0.4286,2.7143,3.1429,0.5,0.3571,0.2143,5.3571,Wing G
Davis Franks,Brown,Ivy,11,2.5,73.1,27.1,22.2,21.11,36,17.7,23.3,24.4,0,1,0,2,9,0.222,0,0,0,0,2.2,11.1,Jr,,,,,,,,,,
Ike Nweke,Columbia,Ivy,27,51.8,106.6,23.2,52.7,56.11,11.2,15.4,6.5,14.7,42,52,0.808,109,207,0.527,0,0,0,2,1.1,25.1,Jr,,,,,,,,,,
Maka Ellis,Columbia,Ivy,6,14,72.3,17,36.5,36.77,2,11.3,5.9,14.4,1,2,0.5,10,24,0.417,5,24,0.208,0.7,0.4,4.2,Jr,,,,,,,,,,
Adam Flagler,Baylor,B12,28,53.4,130.2,16.4,57.8,61.5,4.6,7.3,9.9,11.5,41,47,0.872,38,79,0.481,46,106,0.434,0.2,2.2,25.4,Jr,5.81045,1.8241,0.8929,1.3929,2.2857,1.4286,0.8571,0.0357,9.1071,Combo G
Matt Mims,South Dakota St.,Sum,18,34.3,124,8.8,59.5,61.14,1.2,5.7,10.3,12.5,6,8,0.75,4,8,0.5,14,34,0.412,0,2.2,19,Jr,0.320429,-0.0569322,0.1579,0.8947,1.0526,1.0526,0.6842,0,3.1053,Combo G
Daxton Carr,Idaho St.,BSky,19,54,83.5,14.5,38.4,41.38,4.5,11,5.8,19.4,15,25,0.6,12,28,0.429,14,58,0.241,2.3,0.4,29.1,Jr,-4.63753,-0.262579,0.75,2.125,2.875,0.6667,0.2917,0.5,4.875,Stretch 4
Jayden Saddler,Southern,SWAC,16,58.1,112.8,21.6,63.3,62.95,5.3,10.2,43.4,23.4,26,45,0.578,70,111,0.631,4,9,0.444,0.5,3.1,37.5,Sr,1.45922,0.956954,1.25,2.5,3.75,5.3125,1.5625,0.125,11.125,Pure PG
Patrick Emilien,St. Francis NY,NEC,15,36.8,94.8,16.7,51.4,52.17,3.6,16.4,13.1,21.6,6,10,0.6,15,27,0.556,14,43,0.326,3.6,1.6,14.3,Sr,-0.266988,1.14129,0.6,2.9333,3.5333,1.2667,0.5333,0.6667,5.2,Stretch 4
Adrian Martin,Western Michigan,MAC,19,37.4,79.6,15.3,38,42.11,1.6,6.2,5.2,18,11,13,0.846,12,33,0.364,10,38,0.263,0,1.2,18.3,Sr,-5.30909,-1.60371,0.2,1,1.2,0.4,0.4,0,3.7,Wing G
Garrett Pascoe,Boston University,Pat,15,26.5,77.3,14.1,36.5,49,0,7.9,11.6,37.5,13,14,0.929,5,15,0.333,3,11,0.273,0.6,0.3,53.8,Sr,-7.31798,-3.51318,0,0.8667,0.8667,0.8667,0.0667,0.0667,2.1333,Combo G
Alex Arians,South Dakota St.,Sum,22,79.8,116,15.5,59.5,65.94,0.4,16.6,12.8,20.4,64,73,0.877,44,82,0.537,27,60,0.45,0.9,0.6,51.4,Sr,0.938511,-0.844762,0.1304,4.4783,4.6087,2.5217,0.3478,0.2609,10.4783,Wing G
Elijah Hardy,Cal St. Northridge,BW,16,38.6,82.1,28.6,38.2,42.05,4.4,15.7,16.4,20.7,21,28,0.75,29,82,0.354,13,45,0.289,0.4,3.9,22,Sr,-1.78058,0.680548,0.8,2.1,2.9,1.15,1.05,0.05,7.1,Combo G
Darian Scott,Missouri St.,MVC,10,4.1,116.4,7.8,50,50.85,3.5,6,17.7,20.8,1,2,0.5,1,2,0.5,0,0,0,2.9,0,100,Sr,-5.31816,3.76016,0.0833,0.3333,0.4167,0.3333,0,0.0833,0.4167,C
Riley Sorn,Washington,P12,24,22.5,131.7,14,72.7,73.05,12.2,17.6,6.2,17.3,10,14,0.714,32,44,0.727,0,0,0,8.4,1,31.8,Jr,3.07538,2.71078,1.0417,1.5,2.5417,0.2917,0.1667,0.8333,3.0833,C
Dalvin White,USC Upstate,BSth,22,70.1,101.6,18.7,54.9,55.47,1,10.1,22.4,20.1,13,21,0.619,35,72,0.486,40,101,0.396,0.2,2.7,12.1,Sr,0.511346,-0.519449,0.2174,2.3043,2.5217,3,1.3043,0.0435,9.2609,Scoring PG
Ebrima Dibba,Coastal Carolina,SB,22,84.7,94.8,16.3,43.9,49.32,2.6,14.2,27.7,31.1,39,51,0.765,49,106,0.462,8,33,0.242,0.5,2.1,36.7,Jr,-2.53563,0.667931,0.8077,4.7692,5.5769,5.5,1.5385,0.1154,7.5385,Scoring PG
Deacon Heath,UNC Asheville,BSth,5,2,0,15.1,0,0,0,7,0,0,0,0,0,0,1,0,0,5,0,0,3.6,0,Sr,-14.5116,-5.73869,0,0.2,0.2,0,0.2,0,0,Combo G
Kur Kuath,Marquette,BE,27,42.5,110.5,16,53.4,53.78,9.7,15,7.3,13.2,11,20,0.55,59,109,0.541,2,7,0.286,9.2,1.1,17.2,Sr,1.11614,2.41973,1.4815,2.2963,3.7778,0.6667,0.3333,1.4444,5,C
Lat Mayen,Nebraska,B10,26,64.4,93.8,17.4,52.3,54.18,3,15.6,4.9,19.6,21,26,0.808,32,65,0.492,48,134,0.358,2.4,1.1,13.1,Sr,-0.195303,1.07713,0.8148,3.7407,4.5556,0.6296,0.4815,0.5556,8.6296,Stretch 4
Jaxson Baker,Central Arkansas,Slnd,22,50.5,90.2,16.9,45.9,47.99,2.2,8.7,12.3,22,12,14,0.857,12,36,0.333,33,98,0.337,1.5,1.2,10.4,Jr,-1.52452,-2.36747,0.3913,1.8696,2.2609,1.4783,0.4783,0.3478,6,Wing G
Neftali Alvarez,Mercer,SC,24,68.7,97.7,27.5,47.7,53.04,3.9,10.8,23.6,22.8,75,94,0.798,94,190,0.495,19,67,0.284,1.3,2.7,36.6,Jr,0.294989,-0.101116,0.8519,2.7778,3.6296,4.1852,1.4074,0.3333,13.1852,Scoring PG
Derek Sabin,Belmont,OVC,29,21.4,87.8,16.7,50,53.78,6.2,14.9,4.8,29.2,22,37,0.595,16,30,0.533,3,11,0.273,1.3,0.9,90.2,Jr,-4.87278,-1.27486,0.4333,1.1333,1.5667,0.2667,0.1333,0.1,2.1,Wing F
Franklin Agunanne,SMU,Amer,22,11.4,102.3,18.1,61.1,60.64,8.6,25.4,0,18.7,6,11,0.545,22,36,0.611,0,0,0,0.9,0.9,30.6,Jr,,,,,,,,,,
Adam Kunkel,Xavier,BE,16,35.3,98.8,20,48.1,49.88,0.4,6.6,15.8,13.4,8,9,0.889,25,40,0.625,18,68,0.265,1,3.1,8.3,Sr,0.180046,1.32608,0.0625,1.1875,1.25,1.625,1,0.1875,7,Combo G
Wanjang Tut,Nebraska Omaha,Sum,20,45.8,84.9,23.1,47.5,50.39,5,16.5,2.8,23.4,26,35,0.743,75,157,0.478,0,1,0,2.5,1.3,22.2,Sr,-4.25198,-1.16067,1.05,3.3,4.35,0.3,0.55,0.55,8.8,C
Dzmitry Ryuny,San Francisco,WCC,25,67.4,110.9,16.7,55.9,56.92,4.1,21.1,5.6,12.3,19,28,0.679,26,44,0.591,55,150,0.367,3.2,1.7,14.4,Sr,2.55264,1.19346,1,4.56,5.56,0.8,0.8,0.84,9.44,PF/C
Kevin Obanor,Texas Tech,B12,26,82.1,116.4,26,57.8,62.62,8,24.1,6.4,14.9,103,118,0.873,117,223,0.525,53,117,0.453,1.9,1,34.7,Sr,4.64913,-1.55533,2.1786,7.4643,9.6429,1.0714,0.5357,0.6786,18.7143,Stretch 4
Riley Battin,Utah,P12,25,54.3,113.4,16,50.4,54.14,4.9,13.7,11.7,9.4,25,28,0.893,30,61,0.492,27,79,0.342,0.4,1.2,20,Sr,3.28009,0.619736,0.84,2.52,3.36,1.4,0.44,0.08,6.64,Wing F
Finn Sullivan,Vermont,AE,14,67.6,97.5,15.3,48.9,51.53,1.9,7.7,18.6,18.9,12,15,0.8,17,41,0.415,17,46,0.37,1.6,2.2,17.2,Sr,-1.27327,0.921235,0.5,1.7857,2.2857,2.7143,1.0714,0.4286,6.9286,Scoring PG
Manny Bates,North Carolina St.,ACC,24,65.2,120.8,16.5,64.1,65.2,9.5,16.6,4.7,16.2,35,51,0.686,100,156,0.641,0,0,0,10.7,1.2,32.7,Jr,3.04135,3.22831,2.125,3.75,5.875,0.6667,0.5417,2.6667,9.7917,C
Tevian Jones,Southern Utah,BSky,19,75.4,103.6,27.2,50.4,55.66,1.8,14.8,7.5,16.9,69,79,0.873,52,109,0.477,52,149,0.349,0.2,1.3,30.6,Sr,1.59987,-2.64518,0.625,3.9167,4.5417,1.2083,0.7083,0.0417,16.875,Wing G
Lahat Thioune,Utah,P12,20,11,106.5,13.6,71.9,75.42,11.6,14,1.6,35,4,4,1,10,15,0.667,1,1,1,0,2.1,25,Jr,-1.13704,1.28185,0.5,0.65,1.15,0.05,0.2,0,1.35,PF/C
Eric Ayala,Maryland,B10,29,81.2,110,23.6,52.7,58.11,2,12.7,14.1,12.8,103,124,0.831,82,149,0.55,57,169,0.337,0.5,2.1,39,Sr,4.4954,1.36823,0.5172,3.7586,4.2759,2.1724,1.1724,0.1379,15.1034,Wing G
Jr. Clay,Tennessee Tech,OVC,24,76,102.7,26.6,52.1,54.96,1.9,8,24.8,17.8,68,94,0.723,86,165,0.521,58,167,0.347,0.5,3,28.3,Sr,2.05469,-1.67152,0.5417,2.3333,2.875,3.6667,1.7917,0.1667,17.25,Scoring PG
Sage Tolbert,Temple,Amer,1,1.3,55.1,14,0,0,14,26.6,23,0,0,0,0,0,2,0,0,0,0,0,0,0,Sr,-3.0566,-3.09916,1,2,3,1,0,0,0,C
Gabe McGlothan,Grand Canyon,WAC,21,42.3,118.8,18,60.6,62.5,13.4,23.4,5.5,16.8,27,40,0.675,44,71,0.62,5,14,0.357,1.7,0.5,47.1,Jr,1.49296,0.489739,1.8333,3.5417,5.375,0.5,0.3333,0.25,6.125,PF/C
Monty Johal,Tennessee St.,OVC,22,43.8,87.9,17.1,42.3,43.84,2.3,11.6,14.3,16.5,10,16,0.625,23,46,0.5,16,65,0.246,1.5,2.1,14.4,Jr,-2.78761,-0.598819,0.3913,1.7391,2.1304,1.2174,0.6957,0.2174,5.0435,Combo G
Matt Dentlinger,South Dakota St.,Sum,22,63.5,118.6,18,62.7,63.78,8.1,12,9.5,16,40,61,0.656,85,137,0.62,1,1,1,3.9,0.9,44.2,Sr,2.22761,-0.462387,1.6522,2.7826,4.4348,1.3043,0.4348,0.9565,10.1739,PF/C
Savion Lewis,Quinnipiac,MAAC,21,60.6,81.3,25.1,44.3,46.84,3.5,13.6,29.9,28.1,36,63,0.571,63,141,0.447,5,18,0.278,0.2,3.2,39.6,Jr,-4.46905,0.901224,0.8095,3.381,4.1905,3.381,1.4762,0.0476,8.4286,Scoring PG
Matt Balanc,Quinnipiac,MAAC,18,27.4,89,16.8,45.4,48.21,5.5,13.1,2.7,16.2,11,16,0.688,19,38,0.5,7,27,0.259,1.2,0.9,24.6,Jr,-3.58683,-0.657389,0.6667,1.7222,2.3889,0.1667,0.2222,0.1667,3.8889,Wing G
CJ Fredrick,Kentucky,SEC,27,53.5,127.8,12.3,59.2,60.36,0.8,3.6,12.3,6.9,23,34,0.676,36,76,0.474,36,76,0.474,0.6,0.8,22.4,Jr,3.27308,0.185773,0.1852,0.8889,1.0741,1.9259,0.3704,0.1481,7.5185,Scoring PG
Tyree Pickron,LIU Brooklyn,NEC,13,15.3,58.6,16.1,27.9,27.6,1.6,13.6,4.4,10.1,0,1,0,3,16,0.188,6,27,0.222,1.5,1.6,2.3,Sr,-7.47771,-0.383329,0.1538,1.3846,1.5385,0.2308,0.3077,0.1538,1.8462,Wing G
Tyrese Williams,Quinnipiac,MAAC,19,47.6,73.2,23.2,37.2,41.16,2.1,13.4,11.1,22.5,23,29,0.793,18,44,0.409,25,105,0.238,0.9,1.8,19.5,Sr,-6.06148,-0.608214,0.4211,2.8947,3.3158,1.1579,0.7368,0.2105,7.0526,Wing G
R.J. Eytle-Rock,Utah St.,MWC,20,75,104.6,25.8,53.1,59.1,2.8,15.3,18.9,21.4,80,101,0.792,70,139,0.504,22,55,0.4,0.2,0.9,52.1,Sr,1.70989,-0.215285,0.7,4.2,4.9,2.55,0.45,0.05,14.3,Wing G
Jose Placer,North Florida,ASun,21,80.6,108,23.3,56.7,58.9,1.1,8.6,23.3,19.7,34,42,0.81,72,123,0.585,40,110,0.364,0.4,1.5,18,Jr,1.58612,-2.67073,0.2609,2.4783,2.7391,3.3043,0.7826,0.1304,14.5217,Scoring PG
Rip Economou,Seattle,WAC,17,24.8,79.3,15.5,37.3,38.58,2.7,11.9,1,11.6,4,7,0.571,4,13,0.308,11,42,0.262,0,3.3,12.7,Sr,-6.39516,0.929534,0.2857,1.1429,1.4286,0.2381,0.619,0.0952,2.9524,Wing F
Stephane Ingo,Maine,AE,9,74.4,94.5,22.7,46.7,48.78,9,25.1,12.8,14.1,24,45,0.533,31,66,0.47,3,10,0.3,10.4,1.6,59.2,Jr,-0.141715,2.25619,2.2222,6.3333,8.5556,1.3333,0.7778,2.5556,10.5556,PF/C
Hunter Thompson,Wyoming,MWC,24,55.6,116.4,13.8,57,58.15,4.3,14.6,6.9,9.6,12,16,0.75,19,27,0.704,39,109,0.358,2.2,1.4,11.8,Sr,0.597229,-0.581934,0.875,2.875,3.75,0.875,0.5833,0.5,6.9583,PF/C
Frankie Policelli,Stony Brook,AE,20,62,102.3,20.7,48.3,53.83,3.7,14.4,8.8,17.5,49,58,0.845,33,66,0.5,34,108,0.315,1.1,1.5,33.3,Jr,-0.0662644,-0.367454,0.9048,3.4286,4.3333,1.0952,0.6667,0.3333,10.7143,Wing F
Reggie Chaney,Houston,Amer,31,34.9,128.8,15.6,65,67.84,11.8,10.4,5.6,17.2,40,55,0.727,52,80,0.65,0,0,0,6.4,2.3,68.8,Sr,2.5507,3.70431,1.4688,1.3438,2.8125,0.4688,0.5312,0.7188,4.6875,C
Dwayne Cohill,Youngstown St.,Horz,30,31.6,97.5,12.4,54.6,59.3,3.1,9.4,8.1,29.6,18,23,0.783,22,40,0.55,5,14,0.357,1.1,1.8,42.6,Jr,,,,,,,,,,
Dylan Swingle,Bowling Green,MAC,23,26.7,114.4,15.9,50.7,54.5,7.2,13.5,3.4,9.1,18,24,0.75,37,69,0.536,0,4,0,2,1,32.9,Jr,-1.91139,-0.0427722,0.875,1.5,2.375,0.25,0.3333,0.2083,4,C
Nygal Russell,Southeast Missouri St.,OVC,27,46.1,84.1,15.9,40.5,43.77,6.7,18.7,10.6,24.1,24,42,0.571,30,60,0.5,7,40,0.175,0.7,3.3,42,Sr,-4.36501,0.699186,1.0741,2.8889,3.963,1,1.0741,0.1111,3.8889,Wing G
Elochukwu Eze,SIU Edwardsville,OVC,8,2.4,27.3,14.2,0,0,15.2,4.9,0,50.7,0,0,0,0,3,0,0,0,0,0,0,0,Jr,-14.4176,-7.2982,0.4444,0.2222,0.6667,0,0,0.1111,0.3333,C
Cam Williams,SIU Edwardsville,OVC,9,21.5,97,20.8,53,56.43,0.6,10.4,16.6,23.2,12,14,0.857,20,35,0.571,10,31,0.323,0,2.1,21.2,Sr,-1.3494,-1.70095,0.2,2.3,2.5,1.7,0.8,0.1,8.9,Combo G
Keonte Kennedy,UTEP,CUSA,20,76.1,82.3,18.2,40.6,42.28,5.6,16.6,7.7,20.2,17,28,0.607,48,108,0.444,14,62,0.226,0.3,2.5,16.5,Jr,-2.09452,0.53103,1.4348,4.3913,5.8261,1.3478,1.2174,0.087,8.0435,Wing G
Grayson Carter,Texas Southern,SWAC,20,23.4,94.2,14.5,45.2,49.28,3.7,7.3,4.4,18.1,8,8,1,7,16,0.438,11,36,0.306,1.9,0.5,15.4,Jr,-5.93169,-2.29175,0.5455,0.7727,1.3182,0.4545,0.1364,0.2273,3.3636,PF/C
Kevin Samuel,Florida Gulf Coast,ASun,26,63,109.5,18.8,62.5,58.36,14.4,21.6,6.5,16.2,30,78,0.385,100,160,0.625,0,0,0,7,2.4,48.8,Sr,2.76206,2.24827,3.0769,4.7692,7.8462,0.7308,1.0385,1.6923,8.8462,C
Isaih Moore,Southern Miss,CUSA,25,39.3,120.6,22.2,59.3,62.09,10.8,20.4,9.3,12.5,39,51,0.765,85,135,0.63,7,26,0.269,4.2,1.5,31.7,Sr,4.29592,0.460308,1.76,3.08,4.84,0.8,0.48,0.68,9.2,C
Zach Nutall,SMU,Amer,24,76.9,96.5,30.8,51,53.56,3.5,17,10.9,19.3,67,93,0.72,101,214,0.472,65,175,0.371,1.2,1.7,23.9,Sr,2.41499,-1.48464,0.8929,4.8214,5.7143,1.75,1,0.3214,19.3214,Wing G
Jalen Jefferson,Mount St. Mary's,NEC,12,6.7,107,10.2,66.7,69.62,7.7,20.2,0,30,3,4,0.75,4,6,0.667,0,0,0,0,1,66.7,Sr,-2.72132,-0.29005,0.3333,0.9167,1.25,0,0.0833,0,0.9167,PF/C
Ron Harper Jr.,Rutgers,B10,27,76.7,109.1,22.6,50.9,53.85,3.5,16.8,9.9,9.3,64,87,0.736,101,186,0.543,45,145,0.31,2.3,1.2,26.3,Sr,3.98831,1.34207,1,4.8519,5.8519,1.5556,0.6667,0.6667,14.8519,Wing F
Caleb Broodo,Houston,Amer,3,0.4,138.8,20.3,0,51.28,22.1,0,0,0,2,2,1,0,1,0,0,0,0,0,0,200,Sr,-5.71369,-3.12764,0.5,0.5,1,0.25,0,0,1,C
Eddy Kayouloud,Central Arkansas,Slnd,23,71,106.3,18.7,55.1,58.11,4.5,15.1,16,20.4,41,54,0.759,71,128,0.555,21,58,0.362,0.6,1.6,29,Sr,1.03262,-1.65658,1.125,4.0417,5.1667,2.25,0.8333,0.1667,10.5417,Wing G
Garrison Wade,Dartmouth,Ivy,26,20.1,77,14.1,40.4,41.12,2.7,14.3,5.2,18.9,3,6,0.5,10,16,0.625,6,31,0.194,0,1.6,12.8,Jr,,,,,,,,,,
Dean Noll,Cornell,Ivy,25,41.9,94.3,22.5,46.5,50.45,4.3,11.8,15.8,19.8,26,33,0.788,32,72,0.444,19,58,0.328,1.4,3.9,25.4,Jr,,,,,,,,,,
Max Samberg,Cornell,Ivy,9,2.2,81.3,12.2,0,51.28,11,11.1,7.6,45.4,2,2,1,0,1,0,0,0,0,0,0,200,Jr,,,,,,,,,,
JC Butler,UC Irvine,BW,25,41.1,95.7,16.3,48.5,51.22,3.4,10.6,8.7,20.9,19,28,0.679,35,71,0.493,8,26,0.308,0,2.7,28.9,Jr,-2.4286,2.10202,0.5926,1.7037,2.2963,0.7407,0.8148,0,5.1111,Wing G
Wes Slajchert,Dartmouth,Ivy,28,42.7,81.7,10.3,44.2,45.44,0.5,11.8,10.3,25.5,8,15,0.533,7,18,0.389,13,42,0.31,0,1.8,25,Jr,,,,,,,,,,
Assane Diouf,Austin Peay,OVC,5,1.2,0,12.9,0,0,0,11.4,0,42.6,0,0,0,0,2,0,0,0,0,0,0,0,Jr,-17.4269,-3.8594,0,0.3333,0.3333,0,0,0.1667,0.3333,C
Ogheneyole Akuwovo,Binghamton,AE,12,20.1,106.1,17.6,74.1,66.1,15.9,10.4,0,25.6,7,18,0.389,20,26,0.769,0,1,0,2.2,1.6,66.7,Jr,-0.187868,-2.65554,1.75,1.0833,2.8333,0,0.3333,0.25,3.9167,C
Tae Hardy,Southern Miss,CUSA,21,68,93.6,22,47.4,51.57,0.9,9.7,17.2,19.4,46,61,0.754,61,136,0.449,21,59,0.356,0.8,2.6,31.3,Sr,-1.40341,0.889233,0.2174,2.4783,2.6957,2.6087,1.3478,0.1739,10.9565,Combo G
David Singleton,UCLA,P12,32,41.3,124.8,11.6,62.8,63.35,0.7,11.6,6.6,10.7,9,13,0.692,11,29,0.379,40,84,0.476,0,1.3,11.5,Sr,3.38437,1.81387,0.0938,1.5938,1.6875,0.625,0.375,0,4.7188,Combo G
Nate Springs,Kennesaw St.,ASun,16,18,74.2,18.7,43.4,44.06,5.9,20.6,5.7,28.6,3,6,0.5,9,19,0.474,5,19,0.263,1.4,0,15.8,Jr,-5.93287,-1.59567,0.4706,1.4706,1.9412,0.2353,0,0.1176,2.1176,PF/C
Michael Feinberg,Yale,Ivy,9,1.7,145.4,19,90,86.96,12.4,22.2,0,15.5,3,4,0.75,3,4,0.75,1,1,1,0,0,80,Jr,,,,,,,,,,
Buddy Boeheim,Syracuse,ACC,25,80.4,111.8,22.7,53.5,55.75,1.8,6.1,14.9,11.3,45,53,0.849,84,171,0.491,77,202,0.381,0.1,2.1,14.2,Sr,4.49548,-0.300456,0.56,2.08,2.64,2.6,1.32,0.04,17.76,Combo G
Both Gach,Utah,P12,29,56.1,95.2,17.6,46.4,51.38,2.1,15.5,17.1,22.3,42,52,0.808,46,91,0.505,21,76,0.276,0.3,1.5,31.1,Sr,-0.776245,0.779851,0.4828,3.1724,3.6552,1.931,0.5862,0.069,6.7931,Wing G
Tevin Brown,Murray St.,OVC,24,91,113.1,21.4,53.4,55.36,1.8,17.4,21,12.6,43,59,0.729,54,113,0.478,70,185,0.378,2.2,2.2,19.8,Sr,4.51429,1.09901,0.5385,5.3462,5.8846,4.2692,1.3846,0.6154,14.7308,Combo G
Qon Murphy,New Hampshire,AE,16,49,95,22.6,44.8,47.93,2.4,10.6,13,13.3,27,42,0.643,36,81,0.444,13,43,0.302,0.7,1.2,33.9,Sr,-2.03961,-1.83995,0.5,1.9375,2.4375,1.25,0.4375,0.125,8.625,Wing G
Dwight Murray Jr.,Rider,MAAC,23,92.5,105.6,23.5,52.1,56.51,1.6,17.7,24.3,18.9,67,78,0.859,96,201,0.478,35,84,0.417,0,1.5,27.4,Sr,2.78156,-1.78615,0.5217,5.4348,5.9565,4.1304,0.9565,0,15.8261,Combo G
Joseph Lanzi,College of Charleston,CAA,18,24.6,76.6,17.7,43,46.65,1.2,13.6,10.8,28.5,11,13,0.846,14,34,0.412,11,37,0.297,0,1.1,18.3,Jr,,,,,,,,,,
Taelyr Gatlin,Denver,Sum,20,61,96.1,12.6,52.9,55.22,0.5,6.2,12.1,23.4,15,21,0.714,11,36,0.306,23,50,0.46,1,1.6,24.4,Sr,-2.50829,-1.98582,0.0952,1.2381,1.3333,1.7619,0.6667,0.2381,5.2857,Scoring PG
Jase Townsend,San Diego,WCC,19,76.2,104.2,29.2,49.6,55.63,2.1,13.9,17.4,14.6,83,94,0.883,81,167,0.485,38,111,0.342,0,1.8,33.8,Sr,2.75109,-2.91009,0.55,3.6,4.15,2.2,1.05,0,19.15,Combo G
David Nzekwesi,Weber St.,BSky,7,4.6,88.9,23.9,39.3,42.14,14.8,22.2,0,12.7,2,3,0.667,4,8,0.5,1,6,0.167,2.9,1.5,21.4,Sr,-3.98016,-2.67328,0.6,1.7,2.3,0,0.1,0.1,2.7,PF/C
Jarred Godfrey,Fort Wayne,Horz,23,81.7,106.3,26.4,54.1,58.23,2.2,17.4,22.8,21.3,72,89,0.809,86,159,0.541,43,119,0.361,0.9,2.7,32,Sr,1.60338,-1.50326,0.5217,4.8696,5.3913,3.8261,1.6087,0.2609,16.2174,Combo G
Cody Riley,UCLA,P12,31,54.6,102.5,25.1,53.8,56.72,7.9,20.6,11.8,21.1,69,104,0.663,120,221,0.543,0,2,0,3.6,0.9,46.6,Sr,0.484573,1.978,1.4839,3.871,5.3548,1.3226,0.3548,0.7097,9.9677,C
Samba Kane,Milwaukee,Horz,23,22.2,104.5,14.7,62.2,61.31,8.9,19.6,0.9,23,5,10,0.5,28,45,0.622,0,0,0,6.5,0.3,22.2,Sr,-2.54474,0.843654,0.7826,1.5217,2.3043,0.0435,0.0435,0.6087,2.6522,C
Jordan Campbell,Fresno St.,MWC,21,33.6,97.5,18.8,46.8,49.07,5.6,14.8,9.8,16.3,18,31,0.581,26,51,0.51,7,27,0.259,2,2.2,39.7,Jr,-0.0282587,0.225343,0.6522,1.6957,2.3478,0.5652,0.5217,0.2609,4.4783,Wing G
Carlos Jurgens,Oral Roberts,Sum,26,63.2,102.1,13.2,47.6,52.06,1.4,10.9,9.7,16,33,44,0.75,35,73,0.479,17,54,0.315,2,2.3,34.6,Jr,-1.59795,0.904044,0.3103,2.6207,2.931,1.7586,1,0.4828,5.9655,Wing G
Jaxon Knotek,American,Pat,18,18.9,95.7,21.4,48.6,50.5,3.6,16.6,4.2,16.4,8,11,0.727,16,31,0.516,13,42,0.31,1.1,1.2,15.1,Sr,-0.110303,-0.776396,0.3333,1.6111,1.9444,0.2222,0.2222,0.1111,4.3889,Stretch 4
Shakur Daniel,Tarleton St.,WAC,15,84,90.2,14,41.1,47.97,1.3,10,13.5,19.7,28,36,0.778,27,68,0.397,5,16,0.313,0.6,2.2,42.9,Sr,-3.34136,0.323426,0.3,2.9,3.2,2.7,1.6,0.1,6.95,Combo G
Daivon Stephens,Jacksonville,ASun,8,7.5,68.6,19.7,35.4,36.07,3.2,13.5,2.7,25.2,1,2,0.5,1,8,0.125,5,16,0.313,1.8,1.7,8.3,Sr,-8.87753,-1.7925,0.3333,1.4444,1.7778,0.1111,0.2222,0.1111,2.7778,Wing F
Sam Griesel,North Dakota St.,Sum,27,84.3,99.5,21.7,43.7,49.2,4,18.5,18.2,16.9,82,118,0.695,85,204,0.417,19,56,0.339,0.9,1.7,45.4,Sr,-0.392606,0.832145,1.1111,5.3333,6.4444,3.037,0.963,0.2593,11.5185,Wing G
Gerald Liddell,Alabama St.,SWAC,7,7.3,74.2,15.6,50,44.51,5.8,10.6,6.6,32.3,1,6,0.167,4,7,0.571,2,7,0.286,1.3,0.7,42.9,Sr,-4.09956,0.957272,0.5714,1.1429,1.7143,0.4286,0.1429,0.1429,2.1429,Stretch 4
Courtney Ramey,Texas,B12,26,79.5,104,21.3,47.4,52.2,2.3,8.2,22.2,20.1,64,77,0.831,55,153,0.359,48,115,0.417,0.5,1.7,28.7,Sr,2.3263,0.900695,0.6538,2.5769,3.2308,3.8846,0.9615,0.1538,12.2308,Scoring PG
Jarius Cook,North Dakota St.,Sum,26,66.6,101.5,17.8,47.6,51.46,1,11.4,6.7,14.4,43,51,0.843,45,97,0.464,36,111,0.324,0.6,0.8,24.5,Jr,-1.36342,-0.593165,0.2308,2.6923,2.9231,0.9231,0.3846,0.1538,9.1923,Wing G
Kaleb Hunter,UNC Greensboro,SC,28,65.4,103.2,16.1,47,50.05,4.9,9.8,4.9,13.5,37,50,0.74,71,143,0.497,21,75,0.28,0.8,1.7,22.9,Sr,-0.714438,0.250293,1.3929,2.4286,3.8214,0.7857,0.8214,0.1786,8.6429,Wing G
