player_name,team,conference,GamesPlayed,Min_per,Ortg,usage_rate,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,twoPM,twoPA,twoP_per,TPM,TPA,TP_per,blk_per,stl_per,ftr,yr,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,Position
Jason Strong,Northeastern,CAA,18,62.2,103.8,17.4,56,56.92,1.8,16.5,7.2,13.5,9,12,0.75,31,55,0.564,32,86,0.372,1.1,0.9,8.5,Sr,0.270473,0.431827,0.3889,3.8333,4.2222,0.8889,0.3889,0.2778,9.2778,Stretch 4
Tomas Murphy,Vermont,AE,11,17.2,104.1,33,57.7,62.23,6.1,21.3,7.3,20.8,13,14,0.929,15,33,0.455,10,19,0.526,1.2,1.7,26.9,Sr,1.88217,-0.213681,0.4545,1.7273,2.1818,0.2727,0.2727,0.0909,6.6364,Stretch 4
Brandon McKissic,Florida,SEC,17,74.1,103.8,28.9,57.6,59.03,2.4,12.4,23.7,18.9,40,60,0.667,87,159,0.547,30,70,0.429,0.5,2.8,26.2,Sr,3.85409,0.641269,0.6111,3.0556,3.6667,3.2778,1.5,0.1111,17.2222,Scoring PG
Jack Perry,Portland,WCC,19,45.4,121.4,9.4,72.2,71.76,1.2,6.4,11.5,22.8,7,11,0.636,6,12,0.5,22,42,0.524,0,1.5,20.4,Sr,0.908271,0.951341,0.2,1.25,1.45,1.65,0.55,0,4.25,Scoring PG
Ra Kpedi,Fort Wayne,Horz,23,29.7,114.7,15.4,66.7,64.08,16.9,16.3,0.6,19.8,24,43,0.558,28,42,0.667,0,0,0,1.6,0.8,102.4,Sr,-1.17931,-3.51928,1.4783,1.6522,3.1304,0.0435,0.1739,0.1739,3.4783,C
Bailey Patella,Vermont,AE,15,44.1,118.6,13.9,59.4,61.06,2.9,16.6,13.4,14.5,11,16,0.688,18,26,0.692,9,27,0.333,3.3,3.4,30.2,Sr,1.80728,3.80662,0.4,2.5333,2.9333,1.2667,1,0.4667,4.9333,Wing G
Emmanuel Akot,Boise St.,MWC,23,51.8,95,22.3,46.8,48.81,1.9,14.6,20.5,19.2,28,44,0.636,43,100,0.43,29,85,0.341,2.1,1.9,23.8,Sr,0.715134,1.15361,0.4167,3,3.4167,2.625,0.7917,0.4583,8.75,Wing F
Alex Barcello,BYU,WCC,26,79.8,123.3,22.4,60.5,64.69,1.8,13.7,25.7,16.6,81,95,0.853,89,165,0.539,50,106,0.472,0,1.8,35.1,Sr,6.78379,2.50125,0.4815,4.2222,4.7037,4.3333,0.963,0,16.0741,Scoring PG
Maxwell Evans,TCU,B12,25,64.6,107.4,16.9,55,55.13,2.8,12.1,13.5,15.3,26,49,0.531,42,73,0.575,34,96,0.354,0.5,2.1,29,Sr,2.04785,0.656946,0.64,2.6,3.24,1.72,0.96,0.12,8.48,Combo G
Grant Anticevich,California,P12,24,64.1,97.9,18.5,48.3,50.86,3.1,16.9,13.4,16.4,24,28,0.857,53,123,0.431,30,80,0.375,1.5,0.9,13.8,Sr,0.89971,0.975729,0.76,3.76,4.52,1.76,0.48,0.44,8.88,Stretch 4
Austin McCullough,Campbell,BSth,17,34.2,123.1,13.1,62.9,63.98,3.6,12.3,7.8,9.5,13,19,0.684,19,23,0.826,15,43,0.349,0,0.9,28.8,Sr,2.0425,-2.03268,0.6316,2.1053,2.7368,0.7895,0.4737,0,6.6316,Wing G
Justice Sueing,Ohio St.,B10,31,69.9,110.9,20.2,54.1,59.27,6.6,15.4,9.9,18.7,93,124,0.75,87,161,0.54,22,61,0.361,0.8,2,55.9,Sr,3.45682,1.41294,1.5484,3.9355,5.4839,1.4839,0.9355,0.1935,10.7419,Wing F
Walt McGrory,South Dakota,Sum,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sr,-33.5441,1.83451,0,0,0,0,0,0,0,PF/C
Luke Nathan,Rutgers,B10,2,0.4,0,20.7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Sr,-17.9115,-9.35546,0,0,0,0,0,0,0,C
Brad Davison,Wisconsin,B10,31,76.8,107.9,18.1,46.2,51.64,1.3,12.3,14.7,9.5,66,76,0.868,28,103,0.272,63,162,0.389,0,2.1,28.7,Sr,1.61441,2.39156,0.3548,3.1935,3.5484,2.3548,1.0645,0,10.0323,Combo G
Kobe King,Valparaiso,MVC,19,43.5,99.4,21.9,48.1,51.32,4.9,6.8,12.3,15.3,37,55,0.673,66,131,0.504,7,28,0.25,1.2,1.1,34.6,Jr,,,,,,,,,,
Taj Benning,Fairfield,MAAC,27,83.5,98,20.5,45.6,51.3,2.4,14.7,8.7,16.5,74,88,0.841,63,161,0.391,41,112,0.366,0.6,1.6,32.2,Sr,0.125723,-0.884675,0.7037,4.2222,4.9259,1.2222,0.8889,0.1852,11.963,Wing G
Parker Stewart,Indiana,B10,23,77.4,104,28.5,49.4,53.69,2.7,13,21.2,18.2,91,119,0.765,80,168,0.476,64,188,0.34,1.2,1.2,33.4,Jr,,,,,,,,,,
Marcus Carr,Texas,B12,29,88.3,106.5,28.3,45.1,51.73,2.1,10,31.5,13,155,194,0.799,114,263,0.433,60,189,0.317,0.4,2.1,42.9,Sr,5.44655,0.843067,0.7586,3.2069,3.9655,4.8621,1.3103,0.1379,19.4138,Scoring PG
Terrell Brown,San Diego,WCC,21,26.4,88.1,16.3,43.5,47.34,12.2,14.9,1.6,26.1,13,21,0.619,20,46,0.435,0,0,0,9.2,0.8,45.7,Sr,-4.06267,1.26572,1.2381,1.4286,2.6667,0.0952,0.1429,0.8571,2.5238,C
Jordan Davis,Jacksonville,ASun,22,83.5,85.1,21.2,41.7,45,1.9,10.6,14.9,19.9,36,48,0.75,59,134,0.44,26,101,0.257,0.4,2.2,20.4,Sr,-2.31972,-0.783314,0.6087,2.9565,3.5652,2.087,1.4348,0.1739,11.0435,Combo G
Vance Jackson Jr.,East Carolina,Amer,26,23.5,102,16.5,47.9,48.7,3.5,15.1,9.7,13.9,8,14,0.571,11,30,0.367,23,65,0.354,0.7,1.4,14.7,Sr,-0.227642,0.961704,0.3846,1.6538,2.0385,0.6923,0.3077,0.0769,3.8077,Wing F
Luka Vasic,Charlotte,CUSA,19,18.5,88.1,21.2,50,54.32,1.2,14.4,8.9,24.7,21,32,0.656,17,23,0.739,6,29,0.207,0.6,0.3,61.5,Jr,-61.7311,4.63415,0,0,0,0,0,0,0,
Nike Sibande,Pittsburgh,ACC,14,31.5,98.9,19.6,52.5,53.31,4.3,12.9,15,22.5,12,21,0.571,17,43,0.395,17,38,0.447,0.4,0.8,25.9,Sr,2.15998,-1.29826,0.7857,2.2143,3,1.5,0.2857,0.0714,6.9286,Wing G
Donovan Sims,Middle Tennessee,CUSA,14,31.7,78.2,19.6,39.6,45.14,1.5,13.1,12.9,27.3,17,21,0.81,12,34,0.353,11,38,0.289,0.4,1.9,29.2,Sr,-4.32107,-0.401826,0.2667,2.2,2.4667,1.4667,0.6667,0.0667,5.2667,Wing G
Kevin McAdoo,Detroit,Horz,15,31.1,86.8,18.1,40.7,43.99,0,9.5,11.9,17.4,14,19,0.737,19,44,0.432,12,47,0.255,1.2,0.4,20.9,Sr,-2.85389,-2.35519,0.0588,1.7647,1.8235,1.4706,0.1765,0.1765,6,Wing G
Jalen Gibbs,Jacksonville St.,ASun,4,15.2,118.7,22.1,54.4,60.03,2.5,12.9,11.5,12.1,17,21,0.81,8,19,0.421,11,26,0.423,0,2.2,46.7,Sr,4.46624,0.642841,0.75,4,4.75,1.75,1.25,0,16.5,Combo G
Tydus Verhoeven,UTEP,CUSA,20,58.6,108.7,11.3,61.5,61.41,8.2,11.3,8.6,25.2,8,14,0.571,40,65,0.615,0,0,0,3.1,1.2,21.5,Sr,-1.44149,1.45952,2,2.4348,4.4348,1.087,0.7391,0.8261,4.5652,C
Nicholas Kratholm,Niagara,MAAC,20,46.1,101.9,18.5,49.4,51.71,10.5,15.6,9.1,16,23,39,0.59,41,82,0.5,0,1,0,3.1,0.3,47,Sr,-1.07726,-1.64627,1.7,2.35,4.05,0.75,0.1,0.45,5.25,C
Eric Williams Jr.,Oregon,P12,24,66,106.2,18.7,46.6,50.44,7.3,16.4,9,13.6,46,63,0.73,50,117,0.427,31,90,0.344,1.9,1.1,30.4,Sr,1.95562,0.0271072,1.8333,4.125,5.9583,1.625,0.5833,0.5,9.9583,Wing F
Goanar Mar,Northern Iowa,MVC,14,14.9,70.8,15.9,35.7,36.71,8.2,16.6,3.9,26.5,3,7,0.429,10,25,0.4,0,3,0,1.8,2.1,25,Sr,-5.54233,-0.707096,0.8,1.4,2.2,0.2,0.3333,0.1333,1.6,PF/C
Bryan Knapp,George Washington,A10,25,66.9,101.6,15,49.4,51.46,2,8.8,9.9,12.6,18,23,0.783,49,113,0.434,21,50,0.42,0.7,1.5,14.1,Sr,,,,,,,,,,
Terrance McBride,Rice,CUSA,25,82.6,108.6,21.8,53.1,56.43,3.3,10.4,20.4,15.4,55,71,0.775,94,172,0.547,28,84,0.333,0.4,1.8,27.7,Sr,,,,,,,,,,
Riley Voss,Wright St.,Horz,24,34.8,85.3,14.4,43.8,42.9,2.1,13.9,15.6,21.7,0,3,0,9,27,0.333,15,45,0.333,1.7,2.8,4.2,Sr,,,,,,,,,,
Chris Knight,Loyola Chicago,MVC,28,64.3,99.4,33.4,55.2,56.2,8.5,20.1,21.8,18.9,57,94,0.606,180,314,0.573,1,15,0.067,5.9,2,28.6,Sr,,,,,,,,,,
Scott Blakney,Montana,BSky,22,50.9,100.5,26.4,59.1,62.62,6.2,12,7.1,22.8,48,62,0.774,94,159,0.591,0,0,0,0.5,0.8,39,Sr,-1.58372,-2.78391,1,2,3,0.5,0.2727,0.0909,10.7273,C
